state_name,popestimate,lat,long
alabama,4903185,32.37772,-86.301
alaska,731545,58.30160,-134.420
arizona,7278717,33.44814,-112.097
arkansas,3017804,34.74661,-92.289
california,39512223,38.57667,-121.494
colorado,5758736,39.73923,-104.985
connecticut,3565287,41.76405,-72.682
delaware,973764,39.15731,-75.520
district of columbia,705749,38.89511,-77.036
florida,21477737,30.43812,-84.281
georgia,10617423,33.74903,-84.388
hawaii,1415872,21.30744,-157.857
idaho,1787065,43.61778,-116.200
illinois,12671821,39.79836,-89.655
indiana,6732219,39.76862,-86.163
iowa,3155070,41.59109,-93.604
kansas,2913314,39.04819,-95.678
kentucky,4467673,38.18672,-84.875
louisiana,4648794,30.45707,-91.187
maine,1344212,44.30717,-69.782
maryland,6045680,38.97876,-76.491
massachusetts,6892503,42.35816,-71.064
michigan,9986857,42.73364,-84.555
minnesota,5639632,44.95510,-93.102
mississippi,2976149,32.30385,-90.182
missouri,6137428,38.57920,-92.173
montana,1068778,46.58571,-112.018
nebraska,1934408,40.80808,-96.700
nevada,3080156,39.16391,-119.766
new hampshire,1359711,43.20690,-71.538
new jersey,8882190,40.22060,-74.770
new mexico,2096829,35.68224,-105.940
new york,19453561,42.65284,-73.758
north carolina,10488084,35.78043,-78.639
north dakota,762062,46.82085,-100.783
ohio,11689100,39.96135,-82.999
oklahoma,3956971,35.49221,-97.503
oregon,4217737,44.93846,-123.030
pennsylvania,12801989,40.26438,-76.884
rhode island,1059361,41.83091,-71.415
south carolina,5148714,34.00034,-81.033
south dakota,884659,44.36703,-100.346
tennessee,6829174,36.16581,-86.784
texas,28995881,30.27467,-97.740
utah,3205958,40.77748,-111.888
vermont,623989,44.26244,-72.581
virginia,8535519,37.53886,-77.434
washington,7614893,47.03581,-122.905
west virginia,1792147,38.33625,-81.612
wisconsin,5822434,43.07468,-89.384
wyoming,578759,41.14026,-104.820
