state_name,state_id,census_2020,percent_of_total
california,ca,39538223,0.1191
texas,tx,29145505,0.0874
florida,fl,21538187,0.0647
new york,ny,20201249,0.0586
pennsylvania,pa,13002700,0.0386
illinois,il,12801989,0.0382
ohio,oh,11799448,0.0352
georgia,ga,10711908,0.032
north carolina,nc,10439388,0.0316
michigan,mi,10077331,0.0301
new jersey,nj,9288994,0.0268
virginia,va,8631393,0.0257
washington,wa,7705281,0.0229
arizona,az,7151502,0.0219
massachusetts,ma,7029917,0.0209
tennessee,tn,6910840,0.0206
indiana,in,6785528,0.0203
maryland,md,6177224,0.0185
missouri,mo,6154913,0.0182
wisconsin,wi,5893718,0.0175
colorado,co,5773714,0.0174
minnesota,mn,5706494,0.017
south carolina,sc,5118425,0.0155
alabama,al,5024279,0.0148
louisiana,la,4657757,0.014
kentucky,ky,4505836,0.0135
oregon,or,4237256,0.0127
oklahoma,ok,3959353,0.0119
connecticut,ct,3605944,0.0107
utah,ut,3205958,0.0097
iowa,ia,3271616,0.0095
nevada,nv,3104614,0.0093
arkansas,ar,3011524,0.0091
mississippi,ms,2961279,0.009
kansas,ks,2937880,0.0088
new mexico,nm,2117522,0.0063
nebraska,ne,1961504,0.0058
idaho,id,1839106,0.0054
west virginia,wv,1793716,0.0054
hawaii,hi,1455271,0.0043
new hampshire,nh,1377529,0.0041
maine,me,1362359,0.0041
rhode island,ri,1097379,0.0032
montana,mt,1084225,0.0032
delaware,de,989948,0.0029
south dakota,sd,886667,0.0027
north dakota,nd,779094,0.0023
alaska,ak,733391,0.0022
dc,dc,689545,0.0021
vermont,vt,643077,0.0019
wyoming,wy,576851,0.0017
